Observer;Tone complexity;Session;Practice or main experiment;Chord consonance;Chord shape index;Starting pitch;Probe correctness;Probe consonance;Probe index;Response yes/no;Response accuracy;Response time;Probe amplitude correction
JS;0;1;1;0;10;2;1;NaN;2;0;0;0.62058;NaN
JS;0;1;1;0;9;2;0;NaN;2;0;1;0.53254;NaN
JS;0;1;1;1;1;4;1;NaN;5;1;1;0.62255;NaN
JS;0;1;1;0;8;2;0;NaN;3;0;1;0.63048;NaN
JS;0;1;1;0;9;2;1;NaN;1;0;0;0.64214;NaN
JS;0;1;1;0;6;1;1;NaN;3;0;0;0.60626;NaN
JS;0;1;1;0;10;3;1;NaN;5;1;1;0.62925;NaN
JS;0;1;1;1;1;5;0;0;3;0;1;0.58187;NaN
JS;0;1;1;1;3;5;0;1;3;1;0;0.62989;NaN
JS;0;1;1;1;3;3;1;NaN;1;0;0;0.66055;NaN
JS;0;1;1;1;1;5;0;0;1;0;1;0.58213;NaN
JS;0;1;1;1;5;3;1;NaN;3;0;0;0.55958;NaN
JS;0;1;1;1;3;2;0;0;1;0;1;0.64497;NaN
JS;0;1;1;1;4;1;0;0;1;0;1;0.62863;NaN
JS;0;1;1;1;5;3;1;NaN;3;1;1;0.70227;NaN
JS;0;1;1;0;8;2;0;NaN;2;0;1;0.69494;NaN
JS;0;1;1;0;10;2;1;NaN;5;1;1;0.62612;NaN
JS;0;1;1;1;5;3;0;0;3;0;1;0.6376;NaN
JS;0;1;1;0;10;2;0;NaN;1;0;1;0.66851;NaN
JS;0;1;1;1;2;1;1;NaN;5;1;1;0.60176;NaN
JS;0;1;1;0;8;3;1;NaN;3;0;0;0.6942;NaN
JS;0;1;1;0;9;4;1;NaN;4;1;1;0.63089;NaN
JS;0;1;1;0;8;1;0;NaN;2;0;1;0.64534;NaN
JS;0;1;1;0;10;1;1;NaN;1;1;1;0.66092;NaN
JS;0;1;1;1;3;5;1;NaN;3;1;1;0.62657;NaN
JS;0;1;1;0;7;5;0;NaN;2;0;1;0.64562;NaN
JS;0;1;1;1;2;5;1;NaN;4;1;1;0.62929;NaN
JS;0;1;1;0;6;3;1;NaN;4;1;1;0.64358;NaN
JS;0;1;1;1;5;3;0;1;1;0;1;0.63721;NaN
JS;0;1;1;1;3;4;1;NaN;2;0;0;0.60368;NaN
JS;0;1;1;1;1;5;0;1;2;1;0;0.6292;NaN
JS;0;1;1;1;5;1;0;1;1;1;0;0.67029;NaN
JS;0;1;1;0;8;4;1;NaN;4;0;0;0.64201;NaN
JS;0;1;1;1;3;3;1;NaN;4;1;1;0.78211;NaN
JS;0;1;1;1;4;4;0;1;1;0;1;0.58004;NaN
JS;0;1;1;1;1;3;0;0;3;0;1;0.61201;NaN
JS;0;1;1;0;7;3;1;NaN;5;1;1;0.59062;NaN
JS;0;1;1;0;9;3;0;NaN;3;0;1;0.63665;NaN
JS;0;1;1;1;3;1;0;0;3;0;1;0.63534;NaN
JS;0;1;1;1;4;4;1;NaN;4;1;1;0.65233;NaN
JS;0;1;1;1;4;4;0;0;3;0;1;0.67851;NaN
JS;0;1;1;0;6;2;1;NaN;5;1;1;0.5977;NaN
JS;0;1;1;0;6;1;0;NaN;2;0;1;0.64672;NaN
JS;0;1;1;0;9;2;1;NaN;5;1;1;0.59786;NaN
JS;0;1;1;0;6;1;1;NaN;5;1;1;0.59624;NaN
JS;0;1;1;0;10;5;0;NaN;2;0;1;0.66938;NaN
JS;0;1;1;1;3;2;0;0;2;1;0;0.67059;NaN
JS;0;1;1;1;5;4;1;NaN;2;1;1;0.67676;NaN
JS;0;1;1;0;7;1;1;NaN;2;0;0;0.60604;NaN
JS;0;1;1;0;8;2;1;NaN;1;0;0;0.60259;NaN
JS;0;1;1;0;8;5;1;NaN;3;1;1;0.57472;NaN
JS;0;1;1;1;5;3;1;NaN;5;1;1;0.59059;NaN
JS;0;1;1;0;8;3;0;NaN;1;0;1;0.55413;NaN
JS;0;1;1;0;9;4;0;NaN;3;0;1;0.53352;NaN
JS;0;1;1;1;2;5;0;0;1;0;1;0.59693;NaN
JS;0;1;1;1;4;1;0;0;3;0;1;0.59802;NaN
JS;0;1;1;1;2;5;0;1;1;1;0;669;NaN
JS;0;1;1;0;7;5;0;NaN;1;0;1;0.68319;NaN
JS;0;1;1;1;3;5;0;0;2;1;0;0.6209;NaN
JS;0;1;1;1;4;1;1;NaN;4;0;0;0.54657;NaN
JS;0;1;1;0;8;3;0;NaN;3;0;1;0.58149;NaN
JS;0;1;1;0;8;1;1;NaN;4;1;1;0.64305;NaN
JS;0;1;1;1;4;3;0;0;2;0;1;0.60463;NaN
JS;0;1;1;1;2;1;0;1;3;1;0;0.60673;NaN
JS;0;1;1;1;3;1;0;1;2;0;1;0.68575;NaN
JS;0;1;1;1;2;3;1;NaN;5;1;1;597;NaN
JS;0;1;1;1;5;5;0;1;2;1;0;0.65426;NaN
JS;0;1;1;0;10;2;1;NaN;5;1;1;0.59767;NaN
JS;0;1;1;1;3;4;0;0;2;0;1;0.62014;NaN
JS;0;1;1;0;7;1;1;NaN;1;0;0;0.58576;NaN
JS;0;1;1;1;3;5;1;NaN;5;1;1;0.58073;NaN
JS;0;1;1;0;6;5;1;NaN;5;1;1;0.57028;NaN
JS;0;1;1;1;3;1;1;NaN;1;1;1;0.58825;NaN
JS;0;1;1;0;9;5;0;NaN;2;0;1;0.60221;NaN
JS;0;1;1;1;3;3;0;1;1;0;1;0.58777;NaN
JS;0;1;1;0;6;3;0;NaN;1;1;0;0.84428;NaN
JS;0;1;1;1;3;2;0;1;2;1;0;0.63832;NaN
JS;0;1;1;1;5;1;1;NaN;5;1;1;0.53294;NaN
JS;0;1;1;1;3;5;1;NaN;5;1;1;0.56435;NaN
JS;0;1;1;0;10;2;1;NaN;2;0;0;0.67529;NaN
JS;0;1;1;1;1;2;1;NaN;1;0;0;0.56211;NaN
JS;0;1;1;1;3;4;0;1;1;0;1;0.58998;NaN
JS;0;1;1;1;1;1;1;NaN;3;1;1;0.5664;NaN
JS;0;1;1;1;2;5;0;1;2;1;0;0.60547;NaN
JS;0;1;1;0;10;5;1;NaN;4;0;0;562;NaN
JS;0;1;1;0;7;3;1;NaN;4;1;1;0.57946;NaN
JS;0;1;1;1;1;4;0;0;3;0;1;0.58197;NaN
JS;0;1;1;0;6;3;0;NaN;3;0;1;0.53945;NaN
JS;0;1;1;1;3;2;0;0;1;0;1;0.58185;NaN
JS;0;1;1;0;8;1;1;NaN;2;0;0;0.74737;NaN
